NO_BATCH	TGL_PENGAMBILAN	NOMOR_MO	KODE_BARANG	LOKASI	QUANTITY	HARGA_PER_UNIT	STATIS	NO_AKUN	STATIS	STATIS	STATIS
[CIN1130100] IB Fluza Catch Cover	2016-04-05 02:13:57	PO00780	CIN113	Suppliers	85000.0	1250.0	STATIS	10010103	STATIS	STATIS	STATIS

[CCC0020100] Catch Cover Fluza Tab.	2016-06-04 05:00:00	PO00780	CCC002	Input	550000.0	224.78	STATIS	10010103	STATIS	STATIS	STATIS

[CIN1130100] IB Fluza Catch Cover	2016-06-04 05:00:00	PO00780	CIN113	Input	85000.0	1250.0	STATIS	10010103	STATIS	STATIS	STATIS

[CCC0020100] Catch Cover Fluza Tab.	2016-04-12 07:15:04	PO00840	CCC002	Suppliers	25000.0	224.78	STATIS	10010103	STATIS	STATIS	STATIS

[CCC0020100] Catch Cover Fluza Tab.	2016-06-04 05:00:00	PO00840	CCC002	Input	25000.0	224.78	STATIS	10010103	STATIS	STATIS	STATIS

[CBA0040100] B. Allufoil Fluza 260 mm x 500 m	2016-04-21 03:49:20	PO00778	CBA004	Suppliers	50.0	734482.75	STATIS	10010103	STATIS	STATIS	STATIS

[CFA0220100] F Allu Fluza (260 mm x 500 m)	2016-04-21 03:49:20	PO00778	CFA022	Suppliers	50.0	934588.9	STATIS	10010103	STATIS	STATIS	STATIS

[CBA0040100] B. Allufoil Fluza 260 mm x 500 m	2016-04-27 01:30:12	PO00778	CBA004	Suppliers	5.0	734482.75	STATIS	10010103	STATIS	STATIS	STATIS

[CFA0220100] F Allu Fluza (260 mm x 500 m)	2016-04-27 01:30:12	PO00778	CFA022	Suppliers	5.0	934588.9	STATIS	10010103	STATIS	STATIS	STATIS

[CBA0040100] B. Allufoil Fluza 260 mm x 500 m	2016-03-31 08:03:53	PO00778	CBA004	Suppliers	29.0	734482.75	STATIS	10010103	STATIS	STATIS	STATIS

[CBA0040100] B. Allufoil Fluza 260 mm x 500 m	2016-06-04 05:00:00	PO00778	CBA004	Input	29.0	734482.75	STATIS	10010103	STATIS	STATIS	STATIS

[CFA0220100] F Allu Fluza (260 mm x 500 m)	2016-03-31 08:03:53	PO00778	CFA022	Suppliers	29.0	934588.9	STATIS	10010103	STATIS	STATIS	STATIS

[CFA0220100] F Allu Fluza (260 mm x 500 m)	2016-06-04 05:00:00	PO00778	CFA022	Input	29.0	934588.9	STATIS	10010103	STATIS	STATIS	STATIS

[CSG0010100] Silica Gel White 2-5 MM	2016-03-23 08:06:04	PO00658	CSG001	Suppliers	100.0	14178.12	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0020600] Btl Glass Amber 100 ml Round	2016-04-07 03:26:22	PO00700	CBO002	Suppliers	94500.0	390.22	STATIS	10010103	STATIS	STATIS	STATIS

[CDO0040200] Dop Alu 28 mm logo LC 	2016-03-28 02:49:25	PO00711	CDO004	Suppliers	500000.0	114.0	STATIS	10010103	STATIS	STATIS	STATIS

[CDO0040200] Dop Alu 28 mm logo LC 	2016-06-01 05:00:00	PO00711	CDO004	Input	500000.0	114.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0020600] Btl Glass Amber 100 ml Round	2016-03-23 04:48:18	PO00700	CBO002	Suppliers	5500.0	390.22	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0020600] Btl Glass Amber 100 ml Round	2016-06-01 05:00:00	PO00700	CBO002	Input	5500.0	390.22	STATIS	10010103	STATIS	STATIS	STATIS

