id,user_type/id,code,company_id/id,type,name,currency_mode,parent_id/id
__export__.account_account_2260000,account.data_account_type_income,4020003,__export__.res_company_2,Regular,Ex Ref -Premix ,At Date,__export__.account_account_2230000
__export__.account_account_2270000,account.data_account_type_income,4020004,__export__.res_company_2,Regular,Ex Ref -LPG ,At Date,__export__.account_account_2230000
__export__.account_account_2280000,account.data_account_type_income,4020005,__export__.res_company_2,Regular,Ex Ref -DPK,At Date,__export__.account_account_2230000
__export__.account_account_2290000,account.data_account_type_income,4020006,__export__.res_company_2,Regular,Ex Ref -RFO ,At Date,__export__.account_account_2230000
__export__.account_account_2300000,account.data_account_type_income,4020007,__export__.res_company_2,Regular,Ex Ref-Kerosene ,At Date,__export__.account_account_2230000
__export__.account_account_3990000,account.data_account_type_income,4020008,__export__.res_company_2,Regular,Under recovery,At Date,__export__.account_account_2230000
__export__.account_account_4000000,account.data_account_type_income,4020009,__export__.res_company_2,Regular,Forex Loss NPA,At Date,__export__.account_account_2230000
__export__.account_account_4010000,account.data_account_type_income,4020010,__export__.res_company_2,Regular,Interest on Ex Ref Receivable,At Date,__export__.account_account_2230000
__export__.account_account_2310000,account.account_type_income_view1,4030000,__export__.res_company_2,View,Other Income,At Date,__export__.account_account_180000
__export__.account_account_2330000,account.data_account_type_income,4030001,__export__.res_company_2,Regular,Hedge Profit ,At Date,__export__.account_account_2310000
__export__.account_account_2340000,account.data_account_type_income,4030002,__export__.res_company_2,Regular,Management Fees ,At Date,__export__.account_account_2310000
__export__.account_account_2350000,account.data_account_type_income,4030003,__export__.res_company_2,Regular,Other Income ,At Date,__export__.account_account_2310000
__export__.account_account_2320000,account.account_type_income_view1,4040000,__export__.res_company_2,View,Bank Interest,At Date,__export__.account_account_180000
__export__.account_account_2360000,account.data_account_type_income,4040001,__export__.res_company_2,Regular,Interest Income-GT Bank ,At Date,__export__.account_account_2320000
__export__.account_account_2380000,account.data_account_type_income,4040002,__export__.res_company_2,Regular,Interest Income-Zenith Bank ,At Date,__export__.account_account_2320000
__export__.account_account_2390000,account.data_account_type_income,4040003,__export__.res_company_2,Regular,Interest Income-UT Bank ,At Date,__export__.account_account_2320000
__export__.account_account_2400000,account.data_account_type_income,4040004,__export__.res_company_2,Regular,Interest Income-IBG ,At Date,__export__.account_account_2320000
__export__.account_account_2370000,account.data_account_type_income,4040005,__export__.res_company_2,Regular,Interest Income-TTB ,At Date,__export__.account_account_2320000
__export__.account_account_2410000,account.data_account_type_income,4040006,__export__.res_company_2,Regular,Interest Income-Cal Bank ,At Date,__export__.account_account_2320000
__export__.account_account_3920000,account.data_account_type_income,4040007,__export__.res_company_2,Regular,Interest Income-SCB,At Date,__export__.account_account_2320000
__export__.account_account_4140000,account.data_account_type_income,4040008,__export__.res_company_2,Regular,Interest Income-HFC,At Date,__export__.account_account_2320000
__export__.account_account_2420000,account.account_type_income_view1,4050000,__export__.res_company_2,View,Exchange gain,At Date,__export__.account_account_180000
