name,location_id,usage
Palet B11,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B12,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B13,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B14,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B15,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B16,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B17,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B18,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B19,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B20,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B21,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B22,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B23,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B24,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B25,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B26,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B27,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B28,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B29,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B30,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B31,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet B32,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Area Terkondisikan,Physical Locations / WH / Stock / Gudang Bahan Kemas,Internal Location
Rak A1,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Terkondisikan,Internal Location
Rak A2,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Terkondisikan,Internal Location
Rab B1,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Terkondisikan,Internal Location
