"id","name","location_id","usage"
"loc_gudang_bahan_kemas_primer_2","Gudang Bahan Kemas Primer 2","Physical Locations / BB / Stock / Gudang Bahan Kemas","Internal Location"
"loc_blok_a_7_palet","Blok A 7 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 2","Internal Location"
"loc_blok_b_7_palet","Blok B 7 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 2","Internal Location"
"loc_blok_c_7_palet","Blok C 7 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 2","Internal Location"
"loc_blok_d_7_palet","Blok D 7 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 2","Internal Location"
"loc_area_karantina","Area Karantina","Physical Locations / BB / Stock / Gudang Bahan Kemas","Internal Location"
"loc_blok_a_7_palet","Blok A 7 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Area Karantina","Internal Location"
"loc_blok_b_7_palet","Blok B 7 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Area Karantina","Internal Location"
"loc_blok_c_7_palet","Blok C 7 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Area Karantina","Internal Location"
"loc_blok_d_7_palet","Blok D 7 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Area Karantina","Internal Location"
"loc_gudang_bahan_kemas_primer_3_ampul","Gudang Bahan Kemas Primer 3 Ampul","Physical Locations / BB / Stock / Gudang Bahan Kemas","Internal Location"
"loc_blok_a_12_palet","Blok A 12 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 3 Ampul","Internal Location"
"loc_blok_b_6_palet","Blok B 6 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 3 Ampul","Internal Location"
"loc_blok_c_6_palet","Blok C 6 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 3 Ampul","Internal Location"
"loc_gudang_bahan_kemas_sekunder_1_brosur_dan_leflet","Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet","Physical Locations / BB / Stock / Gudang Bahan Kemas","Internal Location"
"loc_blok_a_5_lemari","Blok A 5 Lemari","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet","Internal Location"
"loc_blok_b_3_lemari","Blok B 3 Lemari","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet","Internal Location"
"loc_blok_c_3_lemari_","Blok C 3 Lemari ","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet","Internal Location"
"loc_blok_4_lemari_","Blok 4 Lemari ","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet","Internal Location"
"loc_blok_e_1_rak","Blok E 1 Rak","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet","Internal Location"
"loc_area_karantina","Area Karantina","Physical Locations / BB / Stock / Gudang Bahan Kemas","Internal Location"
"loc_blok_a_1_palet","Blok A 1 Palet","Physical Locations / BB / Stock / Gudang Bahan Kemas / Area Karantina","Internal Location"
"loc_gudang_corbox","Gudang Corbox","Physical Locations / BB / Stock / Gudang Bahan Kemas","Internal Location"
"loc_palet_a1","Palet A1","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_a2","Palet A2","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_a3","Palet A3","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_a4","Palet A4","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_a5","Palet A5","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_a6","Palet A6","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_a7","Palet A7","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_a8","Palet A8","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_a9","Palet A9","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_a10","Palet A10","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_b1","Palet B1","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_b2","Palet B2","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_b3","Palet B3","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_b4","Palet B4","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
