"id","name","type","capacity","departement","location"
"machine_mesin_polish_kapsul_kwang_dah","Mesin Polish Kapsul Kwang Dah",,,"Produksi Kapsul","Ruang Kapsul 7"
"machine_vacum_cleaner_nilfisk","Vacum Cleaner Nilfisk",,,"Produksi Kapsul","Ruang Kapsul 7"
"machine_mesin_mixer/granulator_minoga_(tamaru)","Mesin Mixer/Granulator Minoga (Tamaru)","HS-MP100","50 Kg","Produksi Kapsul","Ruang Mixing 2"
"machine_mesin_codding_alpha_jet_c","Mesin Codding Alpha Jet C",,,"Produksi Kemasan","Ruang Codding"
"machine_mesin_codding_alpha_jet_c","Mesin Codding Alpha Jet C",,,"Produksi Kemasan","Ruang Codding"
"machine_mesin_codding_image","Mesin Codding Image",9030,,"Produksi Kemasan","Ruang Codding"
"machine_mesin_codding_image","Mesin Codding Image",9020,,"Produksi Kemasan","Ruang Codding"
"machine_automatic_washing","Automatic Washing",,,"Produksi Kemasan","Ruang Cuci Botol"
"machine_konveyor","Konveyor",,,"Produksi Kemasan","Ruang Cuci Botol"
"machine_laminair_air_flow","Laminair Air Flow",,"Mobile","Produksi Kemasan","Ruang Cuci Botol"
"machine_oven_swan_hiung","Oven Swan Hiung","LJ No. 29",,"Produksi Kemasan","Ruang Cuci Botol"
"machine_oven_tanam_+_loyang","Oven Tanam + Loyang",,,"Produksi Kemasan","Ruang Cuci Botol"
"machine_oven_tumbler_machine","Oven Tumbler Machine",,,"Produksi Kemasan","Ruang Cuci Botol"
"machine_mesin_folding_brosur_devi_fold","Mesin Folding Brosur Devi Fold",,,"Produksi Kemasan","Ruang Kemasan"
"machine_mesin_lakban_(packing)","Mesin Lakban (Packing)",,,"Produksi Kemasan","Ruang Kemasan"
"machine_mesin_shrink_mini_shringking","Mesin Shrink Mini Shringking","RST",,"Produksi Kemasan","Ruang Kemasan"
"machine_mesin_shrink_mitsua","Mesin Shrink Mitsua","MS-407",,"Produksi Kemasan","Ruang Kemasan"
"machine_mesin_shrink_hann_rang","Mesin Shrink Hann Rang",,,"Produksi Kemasan","Ruang Kemasan"
"machine_timbangan_jadever","Timbangan Jadever","JWI-700W","60 Kg","Produksi Kemasan","Ruang Kemasan"
"machine_timbangan_mettler_toledo_60_kg","Timbangan Mettler Toledo 60 Kg","IND221","60 Kg","Produksi Kemasan","Ruang Kemasan"
"machine_timbangan_avery_weight_tronex_60_kg","Timbangan Avery Weight Tronex 60 Kg","HL122","60 Kg","Produksi Kemasan","Ruang Kemasan"
"machine_mesin_filling_larutan_hersonber","Mesin Filling Larutan Hersonber","YH-1500",,"Produksi Larutan","Ruang Larutan 1"
"machine_mesin_mixing_tank_besto_200_ltr","Mesin Mixing Tank Besto 200 Ltr","BC-MT200","200 Ltr","Produksi Larutan","Ruang Larutan 1"
"machine_hand_mixer_makita_","Hand Mixer Makita ","UT1301",,"Produksi Larutan","Ruang Larutan 2"
"machine_mesin_filling_larutan_enterprise_corp","Mesin Filling Larutan Enterprise Corp","CH.5032",,"Produksi Larutan","Ruang Larutan 2"
"machine_mesin_filling_larutan_ming_pen","Mesin Filling Larutan Ming Pen","VI-02",,"Produksi Larutan","Ruang Larutan 2"
"machine_mesin_filling_larutan_phenol_chyun_jye","Mesin Filling Larutan Phenol Chyun Jye","AFC-60",,"Produksi Larutan","Ruang Larutan 2"
"machine_laminair_air_flow_praja_eltu","Laminair Air Flow Praja Eltu",,,"Produksi Larutan","Ruang Timbang"
"machine_timbangan_jadever","Timbangan Jadever","JWE-15K","15 Kg","Produksi Larutan","Ruang Timbang"
"machine_timbangan_avery_weight_tronex","Timbangan Avery Weight Tronex","G220","15 Kg","Produksi Ruahan","Ruang Admin Ruahan"
"machine_mesin_labelling_jihcheng","Mesin Labelling Jihcheng",,,"Produksi Ruahan","Ruang Labelling Injeksi"
"machine_mesin_printing_ampul","Mesin Printing Ampul",,,"Produksi Ruahan","Ruang Labelling Injeksi"
"machine_mesin_printing_ampul_markem","Mesin Printing Ampul Markem","ME205",,"Produksi Ruahan","Ruang Labelling Injeksi"
"machine_mesin_labelling_botol_jihcheng","Mesin Labelling Botol Jihcheng",,,"Produksi Ruahan","Ruang Labelling Syrup"
"machine_mesin_labelling_botol_jihcheng","Mesin Labelling Botol Jihcheng",,,"Produksi Ruahan","Ruang Labelling Syrup"
"machine_mesin_labelling_pot_shanghai_suny","Mesin Labelling Pot Shanghai Suny","RB80",,"Produksi Ruahan","Ruang Labelling Syrup"
"machine_timbangan_jadever","Timbangan Jadever","JWI-700C","150 Kg","Produksi Ruahan","Ruang Staging Produk Ruahan"
"machine_hand_mixer_makita","Hand Mixer Makita","UT1301",,"Produksi Soft Capsule","Ruang Alat Bersih"
"machine_hand_mixer_philips","Hand Mixer Philips","HR1530","warna","Produksi Soft Capsule","Ruang Alat Bersih"
"machine_mesin_blister_duan_kwei","Mesin Blister Duan Kwei","DK-PS","Blister Pack","Produksi Soft Capsule","Ruang Blister"
"machine_mesin_cuci_electrolux","Mesin Cuci Electrolux","EWF8761","7 kg","Produksi Soft Capsule","Ruang Cuci"
"machine_mesin_pengering_electrolux","Mesin Pengering Electrolux","EDV 600","7 kg","Produksi Soft Capsule","Ruang Cuci"
"machine_mesin_vacum_hilfisk","Mesin Vacum Hilfisk","alto aerozo",,"Produksi Soft Capsule","Ruang Cuci"
"machine_tangki_pembuangan","Tangki Pembuangan","U mixer","150 Ltr","Produksi Soft Capsule","Ruang Cuci"
"machine_tangki_penampung","Tangki Penampung",,"200 Ltr","Produksi Soft Capsule","Ruang Cuci"
"machine_timbangan_with_printing_mettler_toledo","Timbangan With Printing Mettler Toledo","AL2-4","0.19-210 gr","Produksi Soft Capsule","Ruang IPC & SPV"
"machine_colloid_mill_rimek","Colloid Mill Rimek","Karnavasi",,"Produksi Soft Capsule","Ruang Mixing (Pencampuran)"
"machine_tangki_gelatin_with_pressure","Tangki Gelatin With Pressure",,"200 Ltr","Produksi Soft Capsule","Ruang Mixing (Pencampuran)"
"machine_tangki_gelatin_with_pressure_200_ltr","Tangki Gelatin With Pressure 200 Ltr",,"200 Ltr","Produksi Soft Capsule","Ruang Mixing (Pencampuran)"
"machine_tangki_penampung_200_ltr","Tangki Penampung 200 Ltr",,"200 Ltr","Produksi Soft Capsule","Ruang Mixing (Pencampuran)"
"machine_tangki_penampung","Tangki Penampung",,"200 Ltr","Produksi Soft Capsule","Ruang Mixing (Pencampuran)"
"machine_timbangan_avery_beker_0.01_-_60_kg","Timbangan Avery Beker 0.01 - 60 Kg","AL122","0.01 - 60 Kg","Produksi Soft Capsule","Ruang Mixing (Pencampuran)"
"machine_kompor_listrik_maspion","Kompor Listrik Maspion","9-301",,"Produksi Soft Capsule","Ruang Pelelehan Gelatin (Mixing)"
"machine_tangki_mixing_gelatin","Tangki Mixing Gelatin",,,"Produksi Soft Capsule","Ruang Pelelehan Gelatin (Mixing)"
"machine_mesin_caping","Mesin Caping",,"punya sirup","Produksi Soft Capsule","Ruang Pengemasan Primer"
"machine_mesin_counting","Mesin Counting",,"punya kapsul","Produksi Soft Capsule","Ruang Pengemasan Primer"
"machine_timbangan_jadever_16.2-30_kg","Timbangan Jadever 16.2-30 Kg","JWE-30K","16.2-30 Kg","Produksi Soft Capsule","Ruang Pengemasan Primer"
"machine_tumbling_dryers_system_chang_sung_phonetlan","Tumbling Dryers System Chang Sung Phonetlan","CS-M3",,"Produksi Soft Capsule","Ruang Pengisian (End Capsule)"
"machine_mesin_counting_tamaru_mitra_sejati","Mesin Counting Tamaru Mitra Sejati","TC100",,"Produksi Soft Capsule","Ruang Sortir & Counting"
"machine_mesin_seal_rusak","Mesin Seal Rusak",,"rusak","Produksi Soft Capsule","Ruang Sortir & Counting"
"machine_timbangan_scaltex","Timbangan Scaltex","SSH93","s/d 3.5 Kg","Produksi Soft Capsule","Ruang Sortir & Counting"
"machine_timbangan_scaltex","Timbangan Scaltex","SSH93","s/d 3.5 Kg","Produksi Soft Capsule","Ruang Sortir & Counting"
"machine_timbangan_mettler_toledo_189.6_gr_-_8_kg","Timbangan Mettler Toledo 189.6 Gr - 8 Kg","SB8001","189.6 Gr - 8 Kg","Produksi Soft Capsule","Ruang Timbang"
"machine_timbangan_avery_beker","Timbangan Avery Beker","HL122","0.015- 60 Kg","Produksi Soft Capsule","Ruang Timbang"
"machine_ultra_thorax_mixer_koy","Ultra Thorax Mixer Koy","yokinsiron",,"Produksi Syrup","Ruang Syrup 6"
"machine_hand_mixer_makita","Hand Mixer Makita","UT1301",,"Produksi Syrup","Ruang Syrup 6"
"machine_mesin_filling_syrup_jihcheng","Mesin Filling Syrup Jihcheng",,,"Produksi Syrup","Ruang Syrup 6"
"machine_pompa_transfer_elepon_seal","Pompa Transfer Elepon Seal","SL7SN",,"Produksi Syrup","Ruang Syrup 6"
"machine_tangki_heater_stainless","Tangki Heater Stainless",,,"Produksi Syrup","Ruang Syrup 6"
"machine_coloid_mill_achtung","Coloid Mill Achtung","JV10",,"Produksi Syrup","Ruang Syrup 7"
"machine_hand_mixer_makita","Hand Mixer Makita","UT1301",,"Produksi Syrup","Ruang Syrup 7"
"machine_mesin_filling_jihcheng","Mesin Filling Jihcheng",,,"Produksi Syrup","Ruang Syrup 7"
"machine_stand_mixer","Stand Mixer","TP-101",,"Produksi Syrup","Ruang Syrup 7"
"machine_tangki_mixer","Tangki Mixer","TKMS-03",,"Produksi Syrup","Ruang Syrup 7"
"machine_tangki_mixer","Tangki Mixer",,,"Produksi Syrup","Ruang Syrup 7"
"machine_ultra_torax_mixer","Ultra Torax Mixer","S-007",,"Produksi Syrup","Ruang Syrup 7"
"machine_hand_mixer_makita","Hand Mixer Makita","UT1301",,"Produksi Syrup","Ruang Syrup 8"
"machine_mesin_filling_syrup_ming_pen","Mesin Filling Syrup Ming Pen",,"manual","Produksi Syrup","Ruang Syrup 8"
"machine_mesin_filling_vetra_fillomatic","Mesin Filling Vetra Fillomatic","VECT164",,"Produksi Syrup","Ruang Syrup 8"
"machine_mixer_tank","Mixer Tank",,"1200 Ltr","Produksi Syrup","Ruang Syrup 8"
"machine_mixing_tank","Mixing Tank",,"950 Ltr","Produksi Syrup","Ruang Syrup 8"
"machine_mixing_tank_berto","Mixing Tank Berto",,"200 Ltr","Produksi Syrup","Ruang Syrup 8"
"machine_motor_pompa_show_pov","Motor Pompa Show Pov",,,"Produksi Syrup","Ruang Syrup 8"
"machine_stand_mixer_minoga_(tamaru)","Stand Mixer Minoga (Tamaru)",,,"Produksi Syrup","Ruang Syrup 8"
"machine_ultra_thorax_shang_yuh","Ultra Thorax Shang Yuh",,,"Produksi Syrup","Ruang Syrup 8"
"machine_ultra_thorax_mixer","Ultra Thorax Mixer",,,"Produksi Syrup","Ruang Syrup 8"
"machine_laminair_air_flow","Laminair Air Flow",,,"Produksi Syrup","Ruang Timbang"
"machine_print_out_timbangan_mettler_toledo","Print Out Timbangan Mettler Toledo","P26",,"Produksi Syrup","Ruang Timbang"
"machine_timbangan_mettler_toledo_30_kg","Timbangan Mettler Toledo 30 Kg","IND221","30 Kg","Produksi Syrup","Ruang Timbang"
"machine_timbangan_kern_250","Timbangan Kern 250",,250,"Produksi Syrup","Ruang Timbang"
