"id","name","location_id","usage"
"physical_locations__gbk__stock__stock_primer_1_palet_b32","Palet B32","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock_area_terkondisikan","Area Terkondisikan","Physical Locations / GBK / Stock","View"
"physical_locations__gbk__stock__area_terkondisikan_rak_a1","Rak A1","Physical Locations / GBK / Stock / Area Terkondisikan","Internal Location"
"physical_locations__gbk__stock__area_terkondisikan_rak_a2","Rak A2","Physical Locations / GBK / Stock / Area Terkondisikan","Internal Location"
"physical_locations__gbk__stock__area_terkondisikan_rab_b1","Rab B1","Physical Locations / GBK / Stock / Area Terkondisikan","Internal Location"
"physical_locations__gbk__stock__area_terkondisikan_rab_b2","Rab B2","Physical Locations / GBK / Stock / Area Terkondisikan","Internal Location"
"physical_locations__gbk__stock_area_karantina","Area Karantina","Physical Locations / GBK / Stock","View"
"physical_locations__gbk__stock__area_karantina_palet_a1","Palet A1","Physical Locations / GBK / Stock / Area Karantina","Internal Location"
"physical_locations__gbk__stock__area_karantina_palet_a2","Palet A2","Physical Locations / GBK / Stock / Area Karantina","Internal Location"
"physical_locations__gbk__stock_stock_primer_2","Stock Primer 2","Physical Locations / GBK / Stock","Internal Location"
"physical_locations__gbk__stock__stock_primer_2_blok_a_7_palet","Blok A 7 Palet","Physical Locations / GBK / Stock / Stock Primer 2","Internal Location"
"physical_locations__gbk__stock__stock_primer_2_blok_b_7_palet","Blok B 7 Palet","Physical Locations / GBK / Stock / Stock Primer 2","Internal Location"
"physical_locations__gbk__stock__stock_primer_2_blok_c_7_palet","Blok C 7 Palet","Physical Locations / GBK / Stock / Stock Primer 2","Internal Location"
"physical_locations__gbk__stock__stock_primer_2_blok_d_7_palet","Blok D 7 Palet","Physical Locations / GBK / Stock / Stock Primer 2","Internal Location"
"physical_locations__gbk__stock_stock_primer_3_ampul","Stock Primer 3 Ampul","Physical Locations / GBK / Stock","View"
"physical_locations__gbk__stock__stock_primer_3_ampul_blok_a_12_palet","Blok A 12 Palet","Physical Locations / GBK / Stock / Stock Primer 3 Ampul","Internal Location"
"physical_locations__gbk__stock__stock_primer_3_ampul_blok_b_6_palet","Blok B 6 Palet","Physical Locations / GBK / Stock / Stock Primer 3 Ampul","Internal Location"
"physical_locations__gbk__stock__stock_primer_3_ampul_blok_c_6_palet","Blok C 6 Palet","Physical Locations / GBK / Stock / Stock Primer 3 Ampul","Internal Location"
"physical_locations__gbk__stock_stock_sekunder_1_brosur_dan_leflet","Stock Sekunder 1 Brosur dan Leflet","Physical Locations / GBK / Stock","View"
"physical_locations__gbk__stock__stock_sekunder_1_brosur_dan_leflet_blok_a_5_lemari","Blok A 5 Lemari","Physical Locations / GBK / Stock / Stock Sekunder 1 Brosur dan Leflet","Internal Location"
"physical_locations__gbk__stock__stock_sekunder_1_brosur_dan_leflet_blok_b_3_lemari","Blok B 3 Lemari","Physical Locations / GBK / Stock / Stock Sekunder 1 Brosur dan Leflet","Internal Location"
"physical_locations__gbk__stock__stock_sekunder_1_brosur_dan_leflet_blok_c_3_lemari_","Blok C 3 Lemari ","Physical Locations / GBK / Stock / Stock Sekunder 1 Brosur dan Leflet","Internal Location"
"physical_locations__gbk__stock__stock_sekunder_1_brosur_dan_leflet_blok_4_lemari_","Blok 4 Lemari ","Physical Locations / GBK / Stock / Stock Sekunder 1 Brosur dan Leflet","Internal Location"
"physical_locations__gbk__stock__stock_sekunder_1_brosur_dan_leflet_blok_e_1_rak","Blok E 1 Rak","Physical Locations / GBK / Stock / Stock Sekunder 1 Brosur dan Leflet","Internal Location"
"physical_locations__gbk__stock_area_karantina","Area Karantina","Physical Locations / GBK / Stock","View"
"physical_locations__gbk__stock__area_karantina_blok_a_1_palet","Blok A 1 Palet","Physical Locations / GBK / Stock / Area Karantina","Internal Location"
"physical_locations__gbk__stock_gudang_corbox","Gudang Corbox","Physical Locations / GBK / Stock","View"
"physical_locations__gbk__stock__gudang_corbox_palet_a1","Palet A1","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_a2","Palet A2","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_a3","Palet A3","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_a4","Palet A4","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_a5","Palet A5","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_a6","Palet A6","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_a7","Palet A7","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_a8","Palet A8","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_a9","Palet A9","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_a10","Palet A10","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_b1","Palet B1","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_b2","Palet B2","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
