name,type,capacity,departement,location,,,,
Mesin Codding Image,9020,,Produksi Kemasan,Ruang Codding,,,,
Automatic Washing,,,Produksi Kemasan,Ruang Cuci Botol,,,,
Konveyor,,,Produksi Kemasan,Ruang Cuci Botol,,,,
Laminair Air Flow,,Mobile,Produksi Kemasan,Ruang Cuci Botol,,,,
Oven Swan Hiung,LJ No. 29,,Produksi Kemasan,Ruang Cuci Botol,,,,
Oven Tanam + Loyang,,,Produksi Kemasan,Ruang Cuci Botol,,,,
Oven Tumbler Machine,,,Produksi Kemasan,Ruang Cuci Botol,,,,
Mesin Folding Brosur Devi Fold,,,Produksi Kemasan,Ruang Kemasan,,,,
Mesin Lakban (Packing),,,Produksi Kemasan,Ruang Kemasan,,,,
Mesin Shrink Mini Shringking,RST,,Produksi Kemasan,Ruang Kemasan,,,,
Mesin Shrink Mitsua,MS-407,,Produksi Kemasan,Ruang Kemasan,,,,
Mesin Shrink Hann Rang,,,Produksi Kemasan,Ruang Kemasan,,,,
Timbangan Jadever,JWI-700W,60 Kg,Produksi Kemasan,Ruang Kemasan,,,,
Timbangan Mettler Toledo 60 Kg,IND221,60 Kg,Produksi Kemasan,Ruang Kemasan,,,,
Timbangan Avery Weight Tronex 60 Kg,HL122,60 Kg,Produksi Kemasan,Ruang Kemasan,,,,
Mesin Filling Larutan Hersonber,YH-1500,,Produksi Larutan,Ruang Larutan 1,,,,
Mesin Mixing Tank Besto 200 Ltr,BC-MT200,200 Ltr,Produksi Larutan,Ruang Larutan 1,,,,
Hand Mixer Makita ,UT1301,,Produksi Larutan,Ruang Larutan 2,,,,
Mesin Filling Larutan Enterprise Corp,CH.5032,,Produksi Larutan,Ruang Larutan 2,,,,
Mesin Filling Larutan Ming Pen,VI-02,,Produksi Larutan,Ruang Larutan 2,,,,
Mesin Filling Larutan Phenol Chyun Jye,AFC-60,,Produksi Larutan,Ruang Larutan 2,,,,
Laminair Air Flow Praja Eltu,,,Produksi Larutan,Ruang Timbang,,,,
Timbangan Jadever,JWE-15K,15 Kg,Produksi Larutan,Ruang Timbang,,,,
